Partida Numero,Nome Vencedor,Estrategia Vencedor,Numero de turnos,Numero vezes voltou inicio,Como finalizou
167,Pedro,Impulsive,297,50,saldo_positivo
168,Leonardo,Random,52,8,saldo_positivo
169,Pedro,Impulsive,32,5,saldo_positivo
170,Pedro,Impulsive,839,139,saldo_positivo
171,Pedro,Impulsive,1000,169,timeout
172,Pedro,Impulsive,90,16,saldo_positivo
173,Jaque,Demanding,1000,166,timeout
174,Jaque,Demanding,1000,167,timeout
175,Jaque,Demanding,1000,164,timeout
176,Pedro,Impulsive,287,49,saldo_positivo
177,Leonardo,Random,1000,169,timeout
178,Pedro,Impulsive,78,14,saldo_positivo
179,Pedro,Impulsive,1000,164,timeout
180,Jaque,Demanding,1000,169,timeout
181,Leonardo,Random,458,73,saldo_positivo
182,Pedro,Impulsive,1000,165,timeout
183,Pedro,Impulsive,70,11,saldo_positivo
184,Leonardo,Random,1000,166,timeout
185,Leonardo,Random,96,14,saldo_positivo
186,Pedro,Impulsive,421,71,saldo_positivo
187,Pedro,Impulsive,754,126,saldo_positivo
188,Jaque,Demanding,1000,166,timeout
189,Pedro,Impulsive,1000,166,timeout
190,Pedro,Impulsive,64,11,saldo_positivo
191,Pedro,Impulsive,350,56,saldo_positivo
192,Jaque,Demanding,1000,165,timeout
193,Leonardo,Random,1000,168,timeout
194,Jaque,Demanding,1000,164,timeout
195,Pedro,Impulsive,276,50,saldo_positivo
196,Pedro,Impulsive,165,28,saldo_positivo
197,Pedro,Impulsive,162,29,saldo_positivo
198,Pedro,Impulsive,136,21,saldo_positivo
199,Pedro,Impulsive,1000,169,timeout
200,Pedro,Impulsive,1000,160,timeout
201,Pedro,Impulsive,117,19,saldo_positivo
202,Leonardo,Random,1000,171,timeout
203,Leonardo,Random,1000,168,timeout
204,Pedro,Impulsive,1000,164,timeout
205,Leonardo,Random,1000,169,timeout
206,Leonardo,Random,146,24,saldo_positivo
207,Leonardo,Random,257,42,saldo_positivo
208,Pedro,Impulsive,1000,164,timeout
209,Pedro,Impulsive,208,35,saldo_positivo
210,Leonardo,Random,1000,168,timeout
211,Pedro,Impulsive,1000,168,timeout
212,Leonardo,Random,1000,165,timeout
213,Pedro,Impulsive,1000,167,timeout
214,Jaque,Demanding,462,75,saldo_positivo
215,Pedro,Impulsive,230,37,saldo_positivo
216,Pedro,Impulsive,1000,165,timeout
217,Leonardo,Random,1000,166,timeout
218,Pedro,Impulsive,87,14,saldo_positivo
219,Pedro,Impulsive,107,18,saldo_positivo
220,Pedro,Impulsive,169,28,saldo_positivo
221,Pedro,Impulsive,186,30,saldo_positivo
222,Jaque,Demanding,1000,170,timeout
223,Pedro,Impulsive,139,23,saldo_positivo
224,Pedro,Impulsive,95,15,saldo_positivo
225,Pedro,Impulsive,1000,163,timeout
226,Leonardo,Random,53,9,saldo_positivo
227,Pedro,Impulsive,1000,162,timeout
228,Pedro,Impulsive,28,5,saldo_positivo
229,Leonardo,Random,1000,164,timeout
230,Pedro,Impulsive,175,29,saldo_positivo
231,Pedro,Impulsive,157,25,saldo_positivo
232,Jaque,Demanding,1000,164,timeout
233,Pedro,Impulsive,1000,166,timeout
234,Pedro,Impulsive,62,8,saldo_positivo
235,Pedro,Impulsive,1000,167,timeout
236,Leonardo,Random,1000,167,timeout
237,Pedro,Impulsive,101,16,saldo_positivo
238,Leonardo,Random,1000,168,timeout
239,Pedro,Impulsive,1000,170,timeout
240,Pedro,Impulsive,35,5,saldo_positivo
241,Leonardo,Random,1000,167,timeout
242,Pedro,Impulsive,47,8,saldo_positivo
243,Pedro,Impulsive,1000,163,timeout
244,Leonardo,Random,51,9,saldo_positivo
245,Pedro,Impulsive,1000,165,timeout
246,Jaque,Demanding,1000,164,timeout
247,Pedro,Impulsive,1000,163,timeout
248,Leonardo,Random,1000,165,timeout
249,Leonardo,Random,1000,164,timeout
250,Pedro,Impulsive,49,8,saldo_positivo
251,Pedro,Impulsive,155,24,saldo_positivo
252,Pedro,Impulsive,57,9,saldo_positivo
253,Jaque,Demanding,1000,160,timeout
254,Leonardo,Random,85,14,saldo_positivo
255,Pedro,Impulsive,1000,160,timeout
256,Jaque,Demanding,1000,165,timeout
257,Pedro,Impulsive,153,25,saldo_positivo
258,Pedro,Impulsive,1000,167,timeout
259,Leonardo,Random,1000,167,timeout
260,Pedro,Impulsive,1000,168,timeout
261,Leonardo,Random,88,16,saldo_positivo
262,Pedro,Impulsive,1000,165,timeout
263,Pedro,Impulsive,214,34,saldo_positivo
264,Pedro,Impulsive,1000,164,timeout
265,Pedro,Impulsive,1000,167,timeout
266,Pedro,Impulsive,205,33,saldo_positivo
267,Jaque,Demanding,1000,166,timeout
268,Leonardo,Random,89,14,saldo_positivo
269,Pedro,Impulsive,1000,169,timeout
270,Pedro,Impulsive,1000,167,timeout
271,Pedro,Impulsive,1000,166,timeout
272,Leonardo,Random,1000,167,timeout
273,Pedro,Impulsive,1000,163,timeout
274,Leonardo,Random,1000,165,timeout
275,Leonardo,Random,66,12,saldo_positivo
276,Pedro,Impulsive,1000,170,timeout
277,Leonardo,Random,1000,166,timeout
278,Pedro,Impulsive,224,39,saldo_positivo
279,Pedro,Impulsive,125,20,saldo_positivo
280,Jaque,Demanding,1000,164,timeout
281,Pedro,Impulsive,42,7,saldo_positivo
282,Pedro,Impulsive,377,63,saldo_positivo
283,Pedro,Impulsive,93,14,saldo_positivo
284,Jaque,Demanding,1000,165,timeout
285,Pedro,Impulsive,744,119,saldo_positivo
286,Leonardo,Random,177,29,saldo_positivo
287,Jaque,Demanding,1000,166,timeout
288,Pedro,Impulsive,1000,165,timeout
289,Pedro,Impulsive,62,10,saldo_positivo
290,Yago,Cautious,1000,168,timeout
291,Leonardo,Random,1000,164,timeout
292,Pedro,Impulsive,149,23,saldo_positivo
293,Leonardo,Random,1000,161,timeout
294,Pedro,Impulsive,1000,169,timeout
295,Leonardo,Random,1000,166,timeout
296,Pedro,Impulsive,1000,164,timeout
297,Pedro,Impulsive,54,9,saldo_positivo
298,Leonardo,Random,1000,168,timeout
299,Pedro,Impulsive,96,16,saldo_positivo
300,Pedro,Impulsive,40,6,saldo_positivo
